Product Name,ASIN,Price
"pTron Fusion Beats 40W Karaoke Bluetooth Party Speaker, Loud & Clear Stereo Sound, RGB Lights, 3 mtr Wired Mic, BT/USB/SD Card Playback & Type C Charging (Black)",B0CTRV2FVH,"₹1,499"
"ZEBRONICS Pixie Portable Speaker, 5 Watts, Supports Bluetooth, TWS Function, mSD, Compact Design, Call Function, Carry Loop, Upto 7h Backup (Dark Blue)",B0CXTP6NQP,₹599.00
"boAt Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature(Black)",B08JMC1988,"₹1,299.00"
"SYVO Soul 100 Bluetooth 5.0 Wireless IPX4 Super Bass, HD Sound, Aluminium Alloy Portable 3W Bluetooth Speaker with Mic (Black)",B08398QPWX,₹499.00
"GOVO Gosurround 300 | 25W Bluetooth SoundBar, 2000 Mah Battery, 2.0 Channel with 52Mm Drivers, Multicolor Led Lights with Tws, Aux, Bluetooth and USB (Platinum Black)",B0CCPCBW65,"₹1,299.00"
"JYX Best Portable Bluetooth Speakers with 2 Wireless Microphones,5200mAh Karaoke Party Speakers High Bass and Sound Bar Box Set Rechargeable PA System with TWS,FM, REC, Smart Speaker for Adults",B0CKTD3YFT,"₹17,499.00"
"pTron Fusion Beats V2 40W Karaoke Bluetooth Party Speaker with Loud & Clear Stereo Sound, Vivid RGB Lights, 3 mtr Wired Mic, BT/USB/SD Card Playback, Portable Speaker & Type C Charging (Royal Black)",B0D87CJ7WX,"₹1,499.00"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",B0BLNMXT67,₹599.00
"boAt Stone 352 Pro Bluetooth Speaker w/ 14W Signature Sound, Up to 12hrs Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface(Raging Black)",B0D6W7F7WH,"₹1,799.00"
"pTron Fusion Smart 10W Mini Bluetooth Speaker with Wireless Karaoke Mic, 10Hrs Playtime, RGB Lights, Voice Effects, Multi-Play Modes BT5.3/TF Card/USB & Type C Fast Charging Port (Pink)",B0CTR4BXK7,"₹1,199.00"
TRONICA PS07 Premium Series 7.1 Digital 60W Bluetooth Home Theater System PenDrive FM Aux TV Compatible with All Function Remote,B0BQTYSF7W,"₹3,014.00"
"boAt Stone 352 Pro Bluetooth Speaker w/ 14W Signature Sound, Up to 12hrs Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface(Raging Black)",B0D6W7F7WH,"₹1,799.00"
"Marshall Willen Portable Bluetooth Speaker with 15+ hours of portable playtime, Dust & Waterproof (IP67) - Black & Brass.",B0B2RL72ZQ,"₹9,999.00"
"FRONTECH Premium 2.0 Channel USB Powered Speakers with 1.5W x 2 Output, AUX Input, and 1-Year Warranty (Black)",B0CCVZWRD3,₹279.00
"JBL Go 4, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors, Water & Dust Proof, Type C (Without Mic, Black)",B0CX5C6WP3,"₹3,999.00"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",B0BLNMXT67,₹599.00
"pTron Fusion Smart 10W Mini Bluetooth Speaker with Wireless Karaoke Mic, 10Hrs Playtime, RGB Lights, Voice Effects, Play Modes BT5.3/TF Card/USB & Type C Fast Charging Port (Ivory White)",B0CTR4PJRP,"₹1,199.00"
"Tribit StormBox Mini 12W 5.4 Bluetooth Wireless Speaker,360°Surround Sound,Built-in XBass,LED Lights,12H Playtime,IPX7 Waterproof,Wireless Stereo Pairing,Type-C,Portable for Home/Outdoor/Travel Black",B0D4Z148NG,"₹2,799.00"
"Marshall Willen Portable Bluetooth Speaker with 15+ hours of portable playtime, Dust & Waterproof (IP67) - Black & Brass.",B0B2RL72ZQ,"₹9,999.00"
"amazon basics 16W Bluetooth Soundbar Speaker with 1200mah Battery, BT v5.1, Aux, USB Port for Mobile, PC, Tablets, and Laptops (Blue)",B0CG9D18K8,₹849.00
"GOVO Gosurround 300 | 25W Bluetooth SoundBar, 2000 Mah Battery, 2.0 Channel with 52Mm Drivers, Multicolor Led Lights with Tws, Aux, Bluetooth and USB (Platinum Black)",B0CCPCBW65,"₹1,299.00"
"boAt Stone 135 Portable Wireless Speaker with 5W RMS Immersive Sound,IPX4 Water Resistance, True Wireless Feature, Up to 11H Total Playtime, Multi-Connectivity Modes With Type C Charging(Active Black)",B0B12Q8K2X,₹698.00
"Tacson S10 Mini Portable Wireless Bluetooth Speaker with Smart LED Light, for MP3 Music Player,connectivity SD Card, All Smartphone, Multicolor",B09YNN1Y8N,₹246.00
"Zebronics Zeb-Buddy 100 Portable BT v5.0 Speaker with TWS, 15W RMS, Wired mic Karaoke, 5H Backup, RGB LED, FM Radio, AUX, USB, Micro SD, Built in Rechargeable Battery and Mobile Holder, Black",B09P53B3M5,"₹1,299.00"
"Honeywell Moxie V500 10W Portable USB Wired Soundbar, Speaker for PC,Desktop and Laptop with Volume Control and 3.5 mm AUX,2.0 Channel,52mmX2 Drivers,Plug &Play,2 Yrs Maufacuturer Warranty",B0BNJH8DJP,₹789.00
"boAt Stone 1450 Portable Wireless Speaker with 40W RMS Signature Sound, RGB LEDs, TWS Feature, Multi-Compatibility Modes, IPX5 Water Resistance, EQ Modes(Black Storm)",B09SJ32HQZ,"₹4,499.00"
"amazon basics C20R4 16W Bluetooth Soundbar with 2000 mAh Battery | 2X Bass | Up to 10 hrs of Playback | 4 RGB Lights | Bluetooth 5.3, Aux & USB Connectivity (Black)",B0CWHCL2ZT,₹699.00
"Honeywell Newly Launched Suono P300 10W 5.3 Bluetooth Speaker,9H Playtime, Deep Bass,IPX 4,TWS Feature,Fast Charging,SD Card,USB,AUX,Built-in Mic and 52mm Drivers,2 Years Manufacturer Warranty - Blue",B0CTMDVNR6,"₹1,199.00"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"JYX Best Portable Bluetooth Speakers with 2 Wireless Microphones,5200mAh Karaoke Party Speakers High Bass and Sound Bar Box Set Rechargeable PA System with TWS,FM, REC, Smart Speaker for Adults",B0CKTD3YFT,"₹17,499.00"
